Date,HomeTeam,AwayTeam,HomeGoal,AwayGoal,Result
2/3/2018,Los Angeles Kings,Arizona Coyotes,6,0,H
2/3/2018,Montreal Canadiens,Anaheim Ducks,5,2,H
2/3/2018,New Jersey Devils,Pittsburgh Penguins,3,1,H
2/3/2018,Nashville Predators,New York Rangers,5,2,H
2/3/2018,New York Islanders,Columbus Blue Jackets,4,3,H
2/3/2018,Philadelphia Flyers,Ottawa Senators,3,4,A
2/3/2018,Vancouver Canucks,Tampa Bay Lightning,2,4,A
2/3/2018,Winnipeg Jets,Colorado Avalanche,3,0,H
2/4/2018,Carolina Hurricanes,San Jose Sharks,1,3,A
2/4/2018,Montreal Canadiens,Ottawa Senators,4,1,H
2/4/2018,Washington Capitals,Vegas Golden Knights,3,4,A
2/5/2018,Dallas Stars,New York Rangers,2,1,H
2/5/2018,Edmonton Oilers,Tampa Bay Lightning,6,2,H
2/5/2018,New York Islanders,Nashville Predators,4,5,A
2/5/2018,Toronto Maple Leafs,Anaheim Ducks,7,4,H
2/6/2018,Buffalo Sabres,Anaheim Ducks,3,4,A
2/6/2018,Carolina Hurricanes,Philadelphia Flyers,1,2,A
2/6/2018,Columbus Blue Jackets,Washington Capitals,2,3,A
2/6/2018,Chicago Blackhawks,Calgary Flames,2,3,A
2/6/2018,Colorado Avalanche,San Jose Sharks,3,1,H
2/6/2018,Detroit Red Wings,Boston Bruins,2,3,A
2/6/2018,Florida Panthers,Vancouver Canucks,3,1,H
2/6/2018,Ottawa Senators,New Jersey Devils,5,3,H
2/6/2018,Pittsburgh Penguins,Vegas Golden Knights,5,4,H
2/6/2018,St. Louis Blues,Minnesota Wild,2,6,A
2/6/2018,Winnipeg Jets,Arizona Coyotes,4,3,H
2/7/2018,Los Angeles Kings,Edmonton Oilers,5,2,H
2/7/2018,New York Rangers,Boston Bruins,1,6,A
2/7/2018,Toronto Maple Leafs,Nashville Predators,3,2,H
2/8/2018,Buffalo Sabres,New York Islanders,4,3,H
2/8/2018,Chicago Blackhawks,Dallas Stars,2,4,A
2/8/2018,Minnesota Wild,Arizona Coyotes,3,4,A
2/8/2018,New Jersey Devils,Calgary Flames,2,3,A
2/8/2018,Ottawa Senators,Nashville Predators,4,3,H
2/8/2018,Philadelphia Flyers,Montreal Canadiens,5,3,H
2/8/2018,San Jose Sharks,Vegas Golden Knights,3,5,A
2/8/2018,St. Louis Blues,Colorado Avalanche,6,1,H
2/8/2018,Tampa Bay Lightning,Vancouver Canucks,5,2,H
2/9/2018,Anaheim Ducks,Edmonton Oilers,3,2,H
2/9/2018,Carolina Hurricanes,Vancouver Canucks,4,1,H
2/9/2018,Dallas Stars,Pittsburgh Penguins,4,3,H
2/9/2018,Florida Panthers,Los Angeles Kings,1,3,A
2/9/2018,New York Islanders,Detroit Red Wings,7,6,H
2/9/2018,New York Rangers,Calgary Flames,4,3,H
2/9/2018,Winnipeg Jets,St. Louis Blues,2,5,A
2/9/2018,Washington Capitals,Columbus Blue Jackets,4,2,H
2/10/2018,Arizona Coyotes,Philadelphia Flyers,3,4,A
2/10/2018,Boston Bruins,Buffalo Sabres,2,4,A
2/10/2018,Carolina Hurricanes,Colorado Avalanche,3,1,H
2/10/2018,Columbus Blue Jackets,New Jersey Devils,6,1,H
2/10/2018,Minnesota Wild,Chicago Blackhawks,3,0,H
2/10/2018,Montreal Canadiens,Nashville Predators,2,3,A
2/10/2018,San Jose Sharks,Edmonton Oilers,6,4,H
2/10/2018,Tampa Bay Lightning,Los Angeles Kings,4,3,H
2/10/2018,Toronto Maple Leafs,Ottawa Senators,6,3,H
2/11/2018,Anaheim Ducks,San Jose Sharks,2,3,A
2/11/2018,Buffalo Sabres,Colorado Avalanche,4,5,A
2/11/2018,Dallas Stars,Vancouver Canucks,0,6,A
2/11/2018,New Jersey Devils,Boston Bruins,3,5,A
2/11/2018,New York Islanders,Calgary Flames,2,3,A
2/11/2018,St. Louis Blues,Pittsburgh Penguins,1,4,A
2/11/2018,Vegas Golden Knights,Philadelphia Flyers,1,4,A
2/11/2018,Winnipeg Jets,New York Rangers,1,3,A
2/11/2018,Washington Capitals,Detroit Red Wings,4,5,A
2/12/2018,Arizona Coyotes,Chicago Blackhawks,6,1,H
2/12/2018,Edmonton Oilers,Florida Panthers,5,7,A
2/12/2018,Toronto Maple Leafs,Tampa Bay Lightning,4,3,H
2/13/2018,Boston Bruins,Calgary Flames,5,2,H
2/13/2018,Buffalo Sabres,Tampa Bay Lightning,5,3,H
2/13/2018,Carolina Hurricanes,Los Angeles Kings,7,3,H
2/13/2018,Detroit Red Wings,Anaheim Ducks,2,1,H
2/13/2018,Minnesota Wild,New York Rangers,3,2,H
2/13/2018,Nashville Predators,St. Louis Blues,4,3,H
2/13/2018,New York Islanders,Columbus Blue Jackets,1,4,A
2/13/2018,Philadelphia Flyers,New Jersey Devils,4,5,A
2/13/2018,Pittsburgh Penguins,Ottawa Senators,6,3,H
2/13/2018,San Jose Sharks,Arizona Coyotes,1,2,A
2/13/2018,Vegas Golden Knights,Chicago Blackhawks,5,2,H
2/13/2018,Winnipeg Jets,Washington Capitals,4,3,H
2/14/2018,Colorado Avalanche,Montreal Canadiens,2,0,H
2/14/2018,Toronto Maple Leafs,Columbus Blue Jackets,6,3,H
2/14/2018,Vancouver Canucks,Florida Panthers,3,4,A
2/15/2018,Arizona Coyotes,Montreal Canadiens,5,2,H
2/15/2018,Chicago Blackhawks,Anaheim Ducks,2,3,A
2/15/2018,Minnesota Wild,Washington Capitals,2,5,A
2/15/2018,New Jersey Devils,Carolina Hurricanes,5,2,H
2/15/2018,Nashville Predators,Calgary Flames,3,4,A
2/15/2018,New York Islanders,New York Rangers,3,0,H
2/15/2018,Ottawa Senators,Buffalo Sabres,3,2,H
2/15/2018,Pittsburgh Penguins,Los Angeles Kings,3,1,H
2/15/2018,San Jose Sharks,Vancouver Canucks,4,1,H
2/15/2018,Tampa Bay Lightning,Detroit Red Wings,4,1,H
2/15/2018,Vegas Golden Knights,Edmonton Oilers,4,1,H
2/16/2018,Carolina Hurricanes,New York Islanders,0,3,A
2/16/2018,Columbus Blue Jackets,Philadelphia Flyers,1,2,A
2/16/2018,Dallas Stars,St. Louis Blues,2,1,H
2/16/2018,Winnipeg Jets,Colorado Avalanche,6,1,H
2/17/2018,Arizona Coyotes,Edmonton Oilers,1,0,H
2/17/2018,Buffalo Sabres,Los Angeles Kings,2,4,A
2/17/2018,Calgary Flames,Florida Panthers,3,6,A
2/17/2018,Chicago Blackhawks,Washington Capitals,7,1,H
2/17/2018,Minnesota Wild,Anaheim Ducks,2,3,A
2/17/2018,Nashville Predators,Detroit Red Wings,1,3,A
2/17/2018,Ottawa Senators,New York Rangers,6,3,H
2/17/2018,Pittsburgh Penguins,Toronto Maple Leafs,5,3,H
2/17/2018,Tampa Bay Lightning,New Jersey Devils,3,4,A
2/17/2018,Vancouver Canucks,Boston Bruins,6,1,H
2/17/2018,Vegas Golden Knights,Montreal Canadiens,6,3,H
2/18/2018,Carolina Hurricanes,New Jersey Devils,2,3,A
2/18/2018,Columbus Blue Jackets,Pittsburgh Penguins,2,5,A
2/18/2018,Colorado Avalanche,Edmonton Oilers,2,4,A
2/18/2018,Detroit Red Wings,Toronto Maple Leafs,2,3,A
2/18/2018,New York Rangers,Philadelphia Flyers,4,7,A
2/18/2018,San Jose Sharks,Dallas Stars,5,2,H
2/18/2018,Winnipeg Jets,Florida Panthers,7,2,H
2/19/2018,Buffalo Sabres,Washington Capitals,2,3,A
2/19/2018,Calgary Flames,Boston Bruins,1,2,A
2/19/2018,Chicago Blackhawks,Los Angeles Kings,1,3,A
2/19/2018,Nashville Predators,Ottawa Senators,5,2,H
2/19/2018,New York Islanders,Minnesota Wild,3,5,A
2/19/2018,Vegas Golden Knights,Anaheim Ducks,0,2,A
2/20/2018,Detroit Red Wings,Nashville Predators,2,3,A
2/20/2018,Edmonton Oilers,Boston Bruins,2,3,A
2/20/2018,New Jersey Devils,Columbus Blue Jackets,1,2,A
2/20/2018,Philadelphia Flyers,Montreal Canadiens,3,2,H
2/20/2018,St. Louis Blues,San Jose Sharks,2,3,A
2/20/2018,Toronto Maple Leafs,Florida Panthers,1,0,H
2/20/2018,Vancouver Canucks,Colorado Avalanche,4,5,A
2/20/2018,Winnipeg Jets,Los Angeles Kings,3,4,A
2/20/2018,Washington Capitals,Tampa Bay Lightning,2,4,A
2/21/2018,Anaheim Ducks,Dallas Stars,2,0,H
2/21/2018,Chicago Blackhawks,Ottawa Senators,3,2,H
2/21/2018,Vegas Golden Knights,Calgary Flames,7,3,H
2/22/2018,Arizona Coyotes,Calgary Flames,2,5,A
2/22/2018,Detroit Red Wings,Buffalo Sabres,2,3,A
2/22/2018,Edmonton Oilers,Colorado Avalanche,3,2,H
2/22/2018,Florida Panthers,Washington Capitals,3,2,H
2/22/2018,Los Angeles Kings,Dallas Stars,0,2,A
2/22/2018,Montreal Canadiens,New York Rangers,3,1,H
2/22/2018,New Jersey Devils,Minnesota Wild,2,4,A
2/22/2018,Nashville Predators,San Jose Sharks,7,1,H
2/22/2018,Ottawa Senators,Tampa Bay Lightning,3,4,A
2/22/2018,Philadelphia Flyers,Columbus Blue Jackets,2,1,H
2/22/2018,Toronto Maple Leafs,New York Islanders,4,3,H
2/23/2018,Carolina Hurricanes,Pittsburgh Penguins,1,6,A
2/23/2018,Chicago Blackhawks,San Jose Sharks,3,1,H
2/23/2018,New York Rangers,Minnesota Wild,1,4,A
2/23/2018,St. Louis Blues,Winnipeg Jets,0,4,A
2/23/2018,Vegas Golden Knights,Vancouver Canucks,6,3,H
2/24/2018,Arizona Coyotes,Anaheim Ducks,2,0,H
2/24/2018,Columbus Blue Jackets,Chicago Blackhawks,3,2,H
2/24/2018,Calgary Flames,Colorado Avalanche,5,1,H
2/24/2018,Dallas Stars,Winnipeg Jets,3,5,A
2/24/2018,Detroit Red Wings,Carolina Hurricanes,3,1,H
2/24/2018,Florida Panthers,Pittsburgh Penguins,6,5,H
2/24/2018,Los Angeles Kings,Edmonton Oilers,3,4,A
2/24/2018,Montreal Canadiens,Tampa Bay Lightning,3,4,A
2/24/2018,New Jersey Devils,New York Islanders,2,1,H
2/24/2018,Ottawa Senators,Philadelphia Flyers,3,5,A
2/24/2018,Toronto Maple Leafs,Boston Bruins,4,3,H
2/24/2018,Washington Capitals,Buffalo Sabres,5,1,H
2/25/2018,Anaheim Ducks,Edmonton Oilers,5,6,A
2/25/2018,Arizona Coyotes,Vancouver Canucks,1,3,A
2/25/2018,Buffalo Sabres,Boston Bruins,4,1,H
2/25/2018,Minnesota Wild,San Jose Sharks,3,2,H
2/25/2018,Nashville Predators,St. Louis Blues,4,0,H
2/25/2018,New York Rangers,Detroit Red Wings,2,3,A
2/26/2018,Columbus Blue Jackets,Washington Capitals,5,1,H
2/26/2018,Colorado Avalanche,Vancouver Canucks,3,1,H
2/26/2018,Los Angeles Kings,Vegas Golden Knights,3,2,H
2/26/2018,Montreal Canadiens,Philadelphia Flyers,0,1,A
2/26/2018,Tampa Bay Lightning,Toronto Maple Leafs,4,3,H
2/27/2018,Boston Bruins,Carolina Hurricanes,4,3,H
2/27/2018,Dallas Stars,Calgary Flames,2,0,H
2/27/2018,Florida Panthers,Toronto Maple Leafs,3,2,H
2/27/2018,Minnesota Wild,St. Louis Blues,8,3,H
2/27/2018,Pittsburgh Penguins,New Jersey Devils,2,3,A
2/27/2018,San Jose Sharks,Edmonton Oilers,5,2,H
2/27/2018,Vegas Golden Knights,Los Angeles Kings,1,4,A
2/27/2018,Winnipeg Jets,Nashville Predators,5,6,A
2/27/2018,Washington Capitals,Ottawa Senators,3,2,H
2/28/2018,Colorado Avalanche,Calgary Flames,5,2,H
2/28/2018,Montreal Canadiens,New York Islanders,3,1,H
2/28/2018,St. Louis Blues,Detroit Red Wings,2,1,H
2/28/2018,Tampa Bay Lightning,Buffalo Sabres,1,2,A
2/28/2018,Vancouver Canucks,New York Rangers,5,6,A
3/1/2018,Arizona Coyotes,Minnesota Wild,5,3,H
3/1/2018,Boston Bruins,Pittsburgh Penguins,8,4,H
3/1/2018,Dallas Stars,Tampa Bay Lightning,4,5,A
3/1/2018,Edmonton Oilers,Nashville Predators,2,4,A
3/1/2018,Florida Panthers,New Jersey Devils,3,2,H
3/1/2018,Los Angeles Kings,Columbus Blue Jackets,5,2,H
3/1/2018,Philadelphia Flyers,Carolina Hurricanes,1,4,A
3/1/2018,San Jose Sharks,Chicago Blackhawks,7,2,H
3/2/2018,Anaheim Ducks,Columbus Blue Jackets,4,2,H
3/2/2018,Carolina Hurricanes,New Jersey Devils,3,1,H
3/2/2018,Calgary Flames,New York Rangers,1,3,A
3/2/2018,Colorado Avalanche,Minnesota Wild,7,1,H
3/2/2018,Florida Panthers,Buffalo Sabres,4,1,H
3/2/2018,New York Islanders,Montreal Canadiens,3,6,A
3/2/2018,Vancouver Canucks,Nashville Predators,3,4,A
3/2/2018,Vegas Golden Knights,Ottawa Senators,4,5,A
3/2/2018,Winnipeg Jets,Detroit Red Wings,4,3,H
3/3/2018,Arizona Coyotes,Ottawa Senators,2,1,H
3/3/2018,Boston Bruins,Montreal Canadiens,2,1,H
3/3/2018,Dallas Stars,St. Louis Blues,3,2,H
3/3/2018,Edmonton Oilers,New York Rangers,2,3,A
3/3/2018,Los Angeles Kings,Chicago Blackhawks,3,5,A
3/3/2018,Pittsburgh Penguins,New York Islanders,3,2,H
3/3/2018,Tampa Bay Lightning,Philadelphia Flyers,7,6,H
3/3/2018,Washington Capitals,Toronto Maple Leafs,5,2,H
3/4/2018,Anaheim Ducks,Chicago Blackhawks,6,3,H
3/4/2018,Carolina Hurricanes,Winnipeg Jets,2,3,A
3/4/2018,Colorado Avalanche,Nashville Predators,3,4,A
3/4/2018,Florida Panthers,Philadelphia Flyers,4,1,H
3/4/2018,Minnesota Wild,Detroit Red Wings,4,1,H
3/4/2018,New Jersey Devils,Vegas Golden Knights,2,3,A
3/4/2018,San Jose Sharks,Columbus Blue Jackets,2,4,A
3/5/2018,Buffalo Sabres,Toronto Maple Leafs,5,3,H
3/5/2018,Dallas Stars,Ottawa Senators,2,3,A
3/5/2018,Edmonton Oilers,Arizona Coyotes,4,3,H
3/5/2018,Pittsburgh Penguins,Calgary Flames,4,3,H
3/5/2018,Vancouver Canucks,New York Islanders,4,3,H
3/6/2018,Anaheim Ducks,Washington Capitals,4,0,H
3/6/2018,Boston Bruins,Detroit Red Wings,6,5,H
3/6/2018,Columbus Blue Jackets,Vegas Golden Knights,4,1,H
3/6/2018,Chicago Blackhawks,Colorado Avalanche,2,1,H
3/6/2018,Minnesota Wild,Carolina Hurricanes,6,2,H
3/6/2018,New Jersey Devils,Montreal Canadiens,6,4,H
3/6/2018,Nashville Predators,Dallas Stars,2,0,H
3/6/2018,New York Rangers,Winnipeg Jets,0,3,A
3/6/2018,Tampa Bay Lightning,Florida Panthers,5,4,H
3/7/2018,Buffalo Sabres,Calgary Flames,1,5,A
3/7/2018,Philadelphia Flyers,Pittsburgh Penguins,2,5,A
3/7/2018,Vancouver Canucks,Arizona Coyotes,1,2,A
3/8/2018,Boston Bruins,Philadelphia Flyers,3,2,H
3/8/2018,Columbus Blue Jackets,Colorado Avalanche,5,4,H
3/8/2018,Chicago Blackhawks,Carolina Hurricanes,2,3,A
3/8/2018,Detroit Red Wings,Vegas Golden Knights,0,4,A
3/8/2018,Edmonton Oilers,New York Islanders,2,1,H
3/8/2018,Florida Panthers,Montreal Canadiens,5,0,H
3/8/2018,Los Angeles Kings,Washington Capitals,3,1,H
3/8/2018,New Jersey Devils,Winnipeg Jets,2,3,A
3/8/2018,Nashville Predators,Anaheim Ducks,4,2,H
3/8/2018,Ottawa Senators,Buffalo Sabres,3,4,A
3/8/2018,San Jose Sharks,St. Louis Blues,2,0,H
3/8/2018,Tampa Bay Lightning,New York Rangers,5,3,H
3/9/2018,Columbus Blue Jackets,Detroit Red Wings,3,2,H
3/9/2018,Dallas Stars,Anaheim Ducks,2,1,H
3/9/2018,Ottawa Senators,Calgary Flames,1,2,A
3/9/2018,Vancouver Canucks,Minnesota Wild,2,5,A
3/10/2018,Boston Bruins,Chicago Blackhawks,7,4,H
3/10/2018,Buffalo Sabres,Vegas Golden Knights,1,2,A
3/10/2018,Colorado Avalanche,Arizona Coyotes,5,2,H
3/10/2018,Edmonton Oilers,Minnesota Wild,4,1,H
3/10/2018,Florida Panthers,New York Rangers,4,3,H
3/10/2018,Los Angeles Kings,St. Louis Blues,2,7,A
3/10/2018,Nashville Predators,New Jersey Devils,2,3,A
3/10/2018,Philadelphia Flyers,Winnipeg Jets,2,1,H
3/10/2018,San Jose Sharks,Washington Capitals,0,2,A
3/10/2018,Tampa Bay Lightning,Montreal Canadiens,3,2,H
3/10/2018,Toronto Maple Leafs,Pittsburgh Penguins,5,2,H
3/11/2018,Arizona Coyotes,Vancouver Canucks,1,0,H
3/11/2018,Calgary Flames,New York Islanders,2,5,A
3/11/2018,Chicago Blackhawks,Boston Bruins,3,1,H
3/11/2018,Pittsburgh Penguins,Dallas Stars,3,1,H
3/12/2018,Anaheim Ducks,St. Louis Blues,2,4,A
3/12/2018,Columbus Blue Jackets,Montreal Canadiens,5,2,H
3/12/2018,Florida Panthers,Ottawa Senators,3,5,A
3/12/2018,Los Angeles Kings,Vancouver Canucks,3,0,H
3/12/2018,New York Rangers,Carolina Hurricanes,6,3,H
3/12/2018,Philadelphia Flyers,Vegas Golden Knights,2,3,A
3/12/2018,San Jose Sharks,Detroit Red Wings,5,3,H
3/12/2018,Washington Capitals,Winnipeg Jets,3,2,H
